price,volRemaining,typeID,range,orderID,volEntered,minVolume,bid,issued,duration,stationID,regionID,solarSystemID,jumps,
8.0,13.0,1230,32767,1962420282,13,1,False,2011-03-19 19:04:23.000,90,60001408,10000064,30004973,4,
8.5,944708.0,1230,32767,1963812453,945707,1,False,2011-03-20 19:47:14.000,7,60003280,10000064,30005002,6,
8.9,156054.0,1230,32767,1956900973,167043,1,False,2011-03-14 20:08:42.000,14,60005512,10000064,30005018,5,
8.9,193.0,1230,32767,1962258564,193,1,False,2011-03-19 16:49:08.000,1,60012010,10000064,30004970,4,
9.9,5551573.0,1230,32767,1950373651,5560570,1,False,2011-03-09 14:51:12.000,14,60010906,10000064,30004967,5,
10.0,102714.0,1230,32767,1917174570,176568,1,False,2011-02-11 21:39:26.000,90,60011965,10000064,30005026,0,
10.0,67008.0,1230,32767,1928981550,97998,1,False,2011-02-20 17:33:24.000,90,60012607,10000064,30005001,6,
10.0,1136.0,1230,32767,1932236659,1136,1,False,2011-02-23 01:12:03.000,90,60012607,10000064,30005001,6,
10.0,78298.0,1230,32767,1960705341,97280,1,False,2011-03-18 09:10:28.000,90,60009649,10000064,30004969,5,
10.01,72415.0,1230,32767,1957182543,80408,1,False,2011-03-15 00:21:40.000,30,60009646,10000064,30004968,6,
10.13,12140.0,1230,32767,1956759469,35378,1,False,2011-03-14 18:04:16.000,30,60015029,10000064,30014971,6,
10.45,16259.0,1230,32767,1962342525,16259,1,False,2011-03-19 17:59:30.000,1,60012607,10000064,30005001,6,
10.5,439549.0,1230,32767,1787188412,1000000,1,False,2011-02-28 21:23:24.000,90,60011080,10000064,30005019,5,
8.45,13977167.0,1230,-1,1961228816,20000000,1,True,2011-03-18 20:17:46.000,90,60011734,10000064,30004972,5,
8.45,2074606.0,1230,-1,1961475520,10000000,1,True,2011-03-19 00:04:20.000,90,60012607,10000064,30005001,6,
8.4,173283694.0,1230,3,1917881187,250000000,1000,True,2011-03-16 17:59:30.000,90,60010720,10000064,30005025,1,
8.31,13923725.0,1230,2,1941342969,30000000,999,True,2011-03-16 15:06:05.000,90,60010720,10000064,30005025,1,
8.26,1327986.0,1230,-1,1954924990,12000000,1,True,2011-03-13 07:16:47.000,90,60012607,10000064,30005001,6,
8.02,1484709.0,1230,-1,1962598711,2000000,1,True,2011-03-20 20:19:21.000,90,60015029,10000064,30014971,6,
8.01,14357263.0,1230,0,1829066395,20000000,1,True,2011-03-14 14:36:37.000,90,60011590,10000064,30005019,5,
8.0,4401629.0,1230,0,1946708701,5000000,1,True,2011-03-06 14:26:42.000,14,60014542,10000064,30004976,5,
8.0,24998699.0,1230,-1,1951265576,25000000,1,True,2011-03-10 07:15:09.000,90,60009925,10000064,30004995,2,
